Sl. No.,Official_Gene_Symbol,Entrez_Gene_ID,Expression_Change,Gene_Name
55,LOC782486,782486,Downregulated,cytochrome c oxidase subunit VIc-like(LOC782486)
56,LOC112442208,112442208,Downregulated,uncharacterized LOC112442208(LOC112442208)
57,APBA1,515571,Downregulated,amyloid beta precursor protein binding family A member 1(APBA1)
58,LIG1,100124507,Downregulated,DNA ligase 1(LIG1)
59,H2AC7,104975683,Downregulated,H2A clustered histone 7(H2AC7)
60,LOC511425,511425,Downregulated,"acyl-CoA dehydrogenase family, member 10(LOC511425)"
61,EPHX3,617882,Downregulated,epoxide hydrolase 3(EPHX3)
62,LOC112443366,112443366,Downregulated,U6 spliceosomal RNA(LOC112443366)
63,ZCCHC3,507116,Downregulated,zinc finger CCHC-type containing 3(ZCCHC3)
64,LOC787309,787309,Downregulated,zinc finger protein 350(LOC787309)
65,LOC107131247,107131247,Downregulated,ATP-binding cassette sub-family C member 4(LOC107131247)
66,URB2,514623,Downregulated,URB2 ribosome biogenesis homolog(URB2)
67,MUTYH,513051,Downregulated,mutY DNA glycosylase(MUTYH)
68,JRK,517625,Upregulated,Jrk helix-turn-helix protein(JRK)
69,TMEM94,512110,Upregulated,transmembrane protein 94(TMEM94)
70,ARAF,540421,Upregulated,"A-Raf proto-oncogene, serine/threonine kinase(ARAF)"
71,TSKU,529661,Upregulated,"tsukushi, small leucine rich proteoglycan(TSKU)"
72,LOC112446383,112446383,Upregulated,SUMO-conjugating enzyme UBC9(LOC112446383)
73,IL4I1,104968452,Upregulated,interleukin 4 induced 1(IL4I1)
74,ENDOV,526597,Upregulated,endonuclease V(ENDOV)
75,ALKBH5,533303,Upregulated,"alkB homolog 5, RNA demethylase(ALKBH5)"
76,DPYSL3,509796,Upregulated,dihydropyrimidinase like 3(DPYSL3)
77,LIPG,509808,Upregulated,"lipase G, endothelial type(LIPG)"
78,MLYCD,512341,Upregulated,malonyl-CoA decarboxylase(MLYCD)
79,GTSE1,507901,Upregulated,G2 and S-phase expressed 1(GTSE1)
80,WDHD1,540681,Upregulated,WD repeat and HMG-box DNA binding protein 1(WDHD1)
81,SDS,514346,Upregulated,serine dehydratase(SDS)
82,TYW5,539498,Upregulated,tRNA-yW synthesizing protein 5(TYW5)
83,ZNF283,517970,Upregulated,zinc finger protein 283(ZNF283)
84,LOC101904796,101904796,Upregulated,heterogeneous nuclear ribonucleoproteins A2/B1-like(LOC101904796)
85,PHKA2,515732,Upregulated,phosphorylase kinase regulatory subunit alpha 2(PHKA2)
86,ZNF16,100294758,Upregulated,zinc finger protein 16(ZNF16)
87,LOC107131332,107131332,Upregulated,uncharacterized LOC107131332(LOC107131332)
88,SIGIRR,531801,Upregulated,single Ig and TIR domain containing(SIGIRR)
89,RUFY1,528153,Upregulated,RUN and FYVE domain containing 1(RUFY1)
90,RBP4,281444,Upregulated,retinol binding protein 4(RBP4)
91,EID2,615269,Upregulated,EP300 interacting inhibitor of differentiation 2(EID2)
92,PRKAR1B,505370,Upregulated,protein kinase cAMP-dependent type I regulatory subunit beta(PRKAR1B)
93,MTHFD1,534382,Upregulated,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1(MTHFD1)"
94,PADI3,508160,Upregulated,peptidyl arginine deiminase 3(PADI3)
95,FAR2,534380,Upregulated,fatty acyl-CoA reductase 2(FAR2)
96,LETMD1,514595,Upregulated,LETM1 domain containing 1(LETMD1)
97,CSPG4B,530348,Upregulated,chondroitin sulfate proteoglycan family member 4B(CSPG4B)
98,LOC101904305,101904305,Upregulated,uncharacterized LOC101904305(LOC101904305)
99,EXD2,539532,Upregulated,exonuclease 3'-5' domain containing 2(EXD2)
100,UNC119B,617896,Upregulated,unc-119 lipid binding chaperone B(UNC119B)
101,TTYH2,533184,Upregulated,tweety family member 2(TTYH2)
102,B3GLCT,132346750,Upregulated,beta 3-glucosyltransferase(B3GLCT)
103,AGAP1,522241,Upregulated,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1(AGAP1)"
104,PDGFA,505908,Upregulated,platelet derived growth factor subunit A(PDGFA)
105,NCAPG,531234,Upregulated,non-SMC condensin I complex subunit G(NCAPG)
106,SLCO5A1,535202,Upregulated,solute carrier organic anion transporter family member 5A1(SLCO5A1)
107,GATA3,505169,Upregulated,GATA binding protein 3(GATA3)
108,ZNF23,781790,Upregulated,zinc finger protein 23(ZNF23)
109,NYAP2,615765,Upregulated,neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2(NYAP2)
110,LYPD5,789905,Upregulated,LY6/PLAUR domain containing 5(LYPD5)
111,HACD3,100125237,Upregulated,3-hydroxyacyl-CoA dehydratase 3(HACD3)
112,LY9,528926,Upregulated,lymphocyte antigen 9(LY9)
113,KIAA0040,100335299,Upregulated,KIAA0040(KIAA0040)
114,ADAMTS10,513140,Upregulated,ADAM metallopeptidase with thrombospondin type 1 motif 10(ADAMTS10)
115,SULT1A1,282485,Upregulated,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1(SULT1A1)"
116,KLRK1,404058,Upregulated,killer cell lectin like receptor K1(KLRK1)
117,HMGXB4,505539,Upregulated,HMG-box containing 4(HMGXB4)
118,RDH11,505995,Upregulated,retinol dehydrogenase 11(RDH11)
119,HLCS,534247,Upregulated,holocarboxylase synthetase(HLCS)
120,RNF215,530174,Upregulated,ring finger protein 215(RNF215)
121,MYO6,535127,Upregulated,myosin VI(MYO6)
122,MOV10L1,100139822,Upregulated,Mov10 like RISC complex RNA helicase 1(MOV10L1)
123,LTA4H,507130,Upregulated,leukotriene A4 hydrolase(LTA4H)
124,PUSL1,617640,Upregulated,pseudouridine synthase like 1(PUSL1)
125,ATRIP,100125287,Upregulated,ATR interacting protein(ATRIP)
126,CTC1,513500,Upregulated,CST telomere replication complex component 1(CTC1)
127,B3GALNT2,100125310,Upregulated,"beta-1,3-N-acetylgalactosaminyltransferase 2(B3GALNT2)"
128,BTBD19,615438,Upregulated,BTB domain containing 19(BTBD19)
129,PMM1,537070,Upregulated,phosphomannomutase 1(PMM1)
130,LOC504730,504730,Upregulated,immunoglobulin lambda light chain variable region(LOC504730)
131,NCAPH2,767978,Upregulated,non-SMC condensin II complex subunit H2(NCAPH2)
132,BTBD11,539986,Upregulated,BTB domain containing 11(BTBD11)
133,SULT1B1,521920,Upregulated,sulfotransferase family 1B member 1(SULT1B1)
134,B4GAT1,618055,Upregulated,"beta-1,4-glucuronyltransferase 1(B4GAT1)"
135,TDP1,517053,Upregulated,tyrosyl-DNA phosphodiesterase 1(TDP1)
136,TREML2,515548,Upregulated,triggering receptor expressed on myeloid cells like 2(TREML2)
137,FAT3,536281,Upregulated,FAT atypical cadherin 3(FAT3)
138,GPR18,540038,Upregulated,G protein-coupled receptor 18(GPR18)
139,ZNF250,789384,Upregulated,zinc finger protein 250(ZNF250)
140,PIGO,783989,Upregulated,phosphatidylinositol glycan anchor biosynthesis class O(PIGO)
141,PIGN,525095,Upregulated,phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
142,PIGQ,508048,Upregulated,phosphatidylinositol glycan anchor biosynthesis class Q(PIGQ)
143,RPLP0,286868,Upregulated,ribosomal protein lateral stalk subunit P0(RPLP0)
144,QPRT,614254,Upregulated,quinolinate phosphoribosyltransferase(QPRT)
145,TMEM53,540738,Upregulated,transmembrane protein 53(TMEM53)
146,OSBPL10,507708,Upregulated,oxysterol binding protein like 10(OSBPL10)
147,SHF,512726,Upregulated,Src homology 2 domain containing F(SHF)
148,CHAF1A,504535,Upregulated,chromatin assembly factor 1 subunit A(CHAF1A)
149,FLVCR1,533317,Upregulated,FLVCR heme transporter 1(FLVCR1)
150,CSN1S2,282209,Upregulated,casein alpha-S2(CSN1S2)
151,DLGAP1,526435,Upregulated,DLG associated protein 1(DLGAP1)
152,CSN1S1,282208,Upregulated,casein alpha s1(CSN1S1)
153,LRRC47,616209,Upregulated,leucine rich repeat containing 47(LRRC47)
154,RMI2,615553,Upregulated,RecQ mediated genome instability 2(RMI2)
155,FGFBP1,281812,Upregulated,fibroblast growth factor binding protein 1(FGFBP1)
156,CHST7,540357,Upregulated,carbohydrate sulfotransferase 7(CHST7)
157,DUSP1,539175,Upregulated,dual specificity phosphatase 1(DUSP1)
158,GPR35,505056,Upregulated,G protein-coupled receptor 35(GPR35)
159,PGAM1,404148,Upregulated,phosphoglycerate mutase 1(PGAM1)
160,SLC39A11,615681,Upregulated,solute carrier family 39 member 11(SLC39A11)
161,LOC101904992,101904992,Upregulated,uncharacterized LOC101904992(LOC101904992)
162,F3,280686,Upregulated,"coagulation factor III, tissue factor(F3)"
163,PGM2L1,515366,Upregulated,phosphoglucomutase 2 like 1(PGM2L1)
164,TOMM40L,505393,Upregulated,translocase of outer mitochondrial membrane 40 like(TOMM40L)
165,F5,280687,Upregulated,coagulation factor V(F5)
166,TMEM37,613815,Upregulated,transmembrane protein 37(TMEM37)
167,LOC782951,782951,Upregulated,dnaJ homolog subfamily A member 1-like(LOC782951)
168,OAF,514557,Upregulated,out at first homolog(OAF)
169,MED20,540294,Upregulated,mediator complex subunit 20(MED20)
170,PICK1,533737,Upregulated,protein interacting with PRKCA 1(PICK1)
171,PTRH1,505680,Upregulated,peptidyl-tRNA hydrolase 1 homolog(PTRH1)
172,PIGM,509680,Upregulated,phosphatidylinositol glycan anchor biosynthesis class M(PIGM)
173,HAP1,618422,Upregulated,huntingtin associated protein 1(HAP1)
174,SLC18B1,529052,Upregulated,solute carrier family 18 member B1(SLC18B1)
175,PIGG,511496,Upregulated,phosphatidylinositol glycan anchor biosynthesis class G(PIGG)
176,LOC101904744,101904744,Upregulated,T cell receptor beta variable 5-6-like(LOC101904744)
177,LOC132344934,132344934,Upregulated,uncharacterized LOC132344934(LOC132344934)
178,PKN3,505353,Upregulated,protein kinase N3(PKN3)
179,ARL14EPL,616348,Upregulated,ADP ribosylation factor like GTPase 14 effector protein like(ARL14EPL)
180,PELI2,100337503,Upregulated,pellino E3 ubiquitin protein ligase family member 2(PELI2)
181,KCNA3,525507,Upregulated,potassium voltage-gated channel subfamily A member 3(KCNA3)
182,FAM117B,614932,Upregulated,family with sequence similarity 117 member B(FAM117B)
183,UNG,511381,Upregulated,uracil DNA glycosylase(UNG)
184,FAM117A,509931,Upregulated,family with sequence similarity 117 member A(FAM117A)
185,UNK,510090,Upregulated,unk zinc finger(UNK)
186,RECQL5,512590,Upregulated,RecQ like helicase 5(RECQL5)
187,LOC107131975,107131975,Upregulated,uncharacterized LOC107131975(LOC107131975)
188,ZSWIM8,533041,Upregulated,zinc finger SWIM-type containing 8(ZSWIM8)
189,SPP1,281499,Upregulated,secreted phosphoprotein 1(SPP1)
190,PLAGL2,522566,Upregulated,PLAG1 like zinc finger 2(PLAGL2)
191,ZNF227,524111,Upregulated,zinc finger protein 227(ZNF227)
192,NCDN,505994,Upregulated,neurochondrin(NCDN)
193,IL12RB1,524299,Upregulated,interleukin 12 receptor subunit beta 1(IL12RB1)
194,TP53I11,515682,Upregulated,tumor protein p53 inducible protein 11(TP53I11)
195,JAM2,538846,Upregulated,junctional adhesion molecule 2(JAM2)
196,IL12RB2,282452,Upregulated,interleukin 12 receptor subunit beta 2(IL12RB2)
197,LOC101906914,101906914,Upregulated,small ribosomal subunit protein uS8-like(LOC101906914)
198,SLF2,541239,Upregulated,SMC5-SMC6 complex localization factor 2(SLF2)
199,GOLM2,540780,Upregulated,golgi membrane protein 2(GOLM2)
200,ATAD5,513059,Upregulated,ATPase family AAA domain containing 5(ATAD5)
201,AADAT,508929,Upregulated,aminoadipate aminotransferase(AADAT)
202,SAMD4A,540852,Upregulated,sterile alpha motif domain containing 4A(SAMD4A)
203,ZNF76,100300346,Upregulated,zinc finger protein 76(ZNF76)
204,TMEM62,515078,Upregulated,transmembrane protein 62(TMEM62)
205,ZNF77,789258,Upregulated,zinc finger protein 77(ZNF77)
206,SNX21,100125285,Upregulated,sorting nexin family member 21(SNX21)
207,SNX20,505256,Upregulated,sorting nexin 20(SNX20)
208,PSMB8,282013,Upregulated,proteasome 20S subunit beta 8(PSMB8)
209,TARBP1,535018,Upregulated,tRNA guanosine 2 -O-methyltransferase TARBP1(TARBP1)
210,CENPE,281681,Upregulated,centromere protein E(CENPE)
211,FABP3,281758,Upregulated,fatty acid binding protein 3(FABP3)
212,ABCB10,789800,Upregulated,ATP binding cassette subfamily B member 10(ABCB10)
213,TTLL4,511853,Upregulated,tubulin tyrosine ligase like 4(TTLL4)
214,TTLL3,531866,Upregulated,tubulin tyrosine ligase like 3(TTLL3)
215,SLCO3A1,407132,Upregulated,solute carrier organic anion transporter family member 3A1(SLCO3A1)
216,CENPO,767930,Upregulated,centromere protein O(CENPO)
217,LOC101906916,101906916,Upregulated,"ATP synthase F(0) complex subunit C2, mitochondrial-like(LOC101906916)"
218,ZNF697,540379,Upregulated,zinc finger protein 697(ZNF697)
219,ZNF696,511669,Upregulated,zinc finger protein 696(ZNF696)
220,LOC101902786,101902786,Upregulated,heterogeneous nuclear ribonucleoprotein D-like(LOC101902786)
221,PECR,617037,Upregulated,peroxisomal trans-2-enoyl-CoA reductase(PECR)
222,LOC132344751,132344751,Upregulated,uncharacterized LOC132344751(LOC132344751)
223,ZNF692,507847,Upregulated,zinc finger protein 692(ZNF692)
224,LOC132345841,132345841,Upregulated,uncharacterized LOC132345841(LOC132345841)
225,LOC132343664,132343664,Upregulated,uncharacterized LOC132343664(LOC132343664)
226,ZBTB24,539966,Upregulated,zinc finger and BTB domain containing 24(ZBTB24)
227,RASL11A,101903585,Upregulated,RAS like family 11 member A(RASL11A)
228,HP,280692,Upregulated,haptoglobin(HP)
229,RORC,527470,Upregulated,RAR related orphan receptor C(RORC)
230,F13A1,617881,Upregulated,coagulation factor XIII A chain(F13A1)
231,LOC100139360,100139360,Upregulated,zinc finger protein 347(LOC100139360)
232,FAM228B,100125925,Upregulated,family with sequence similarity 228 member B(FAM228B)
233,CXCL16,511671,Upregulated,C-X-C motif chemokine ligand 16(CXCL16)
234,SESN3,515914,Upregulated,sestrin 3(SESN3)
235,RUVBL2,511048,Upregulated,RuvB like AAA ATPase 2(RUVBL2)
236,KPNA6,531602,Upregulated,karyopherin subunit alpha 6(KPNA6)
237,CEP250,507479,Upregulated,centrosomal protein 250(CEP250)
238,NUDT17,507315,Upregulated,nudix hydrolase 17(NUDT17)
239,NEK3,505876,Upregulated,NIMA related kinase 3(NEK3)
240,SLC16A2,535872,Upregulated,solute carrier family 16 member 2(SLC16A2)
241,TNFRSF4,528782,Upregulated,TNF receptor superfamily member 4(TNFRSF4)
242,SLC16A5,531531,Upregulated,solute carrier family 16 member 5(SLC16A5)
243,FBXW5,517357,Upregulated,F-box and WD repeat domain containing 5(FBXW5)
244,LOC132343898,132343898,Upregulated,uncharacterized LOC132343898(LOC132343898)
245,KMT5C,519777,Upregulated,lysine methyltransferase 5C(KMT5C)
246,ZBTB37,617314,Upregulated,zinc finger and BTB domain containing 37(ZBTB37)
247,FAM118A,505415,Upregulated,family with sequence similarity 118 member A(FAM118A)
248,CDC25B,505847,Upregulated,cell division cycle 25B(CDC25B)
249,MSH6,540526,Upregulated,mutS homolog 6(MSH6)
250,MINPP1,541067,Upregulated,multiple inositol-polyphosphate phosphatase 1(MINPP1)
251,TPST1,513004,Upregulated,tyrosylprotein sulfotransferase 1(TPST1)
252,TXLNA,511331,Upregulated,taxilin alpha(TXLNA)
253,MFNG,505267,Upregulated,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(MFNG)
254,FSCN1,507342,Upregulated,fascin actin-bundling protein 1(FSCN1)
255,ZNF436,525080,Upregulated,zinc finger protein 436(ZNF436)
256,ANAPC5,540537,Upregulated,anaphase promoting complex subunit 5(ANAPC5)
257,SLC27A3,511053,Upregulated,solute carrier family 27 member 3(SLC27A3)
258,SQSTM1,338045,Upregulated,sequestosome 1(SQSTM1)
259,LOC504548,504548,Upregulated,ubiquitin D(LOC504548)
260,LOC783604,783604,Upregulated,guanylate-binding protein 4-like(LOC783604)
261,FTL,286861,Upregulated,ferritin light chain(FTL)
262,OSBP2,510311,Upregulated,oxysterol binding protein 2(OSBP2)
263,LOC101902760,101902760,Upregulated,ubiquitin(LOC101902760)
264,C17H12orf76,100296211,Upregulated,chromosome 17 C12orf76 homolog(C17H12orf76)
265,PEF1,506928,Upregulated,penta-EF-hand domain containing 1(PEF1)
266,TROAP,505791,Upregulated,trophinin associated protein(TROAP)
267,KMT2B,785776,Upregulated,lysine methyltransferase 2B(KMT2B)
268,STK39,522103,Upregulated,serine/threonine kinase 39(STK39)
269,FBXO45,533064,Upregulated,F-box protein 45(FBXO45)
270,SOCS2,338437,Upregulated,suppressor of cytokine signaling 2(SOCS2)
271,LOC782525,782525,Upregulated,elongation factor 1-gamma-like(LOC782525)
272,PORCN,540373,Upregulated,porcupine O-acyltransferase(PORCN)
273,LOC100337293,100337293,Upregulated,ankyrin repeat domain-containing protein 26(LOC100337293)
274,PMVK,513533,Upregulated,phosphomevalonate kinase(PMVK)
275,ZNF428,540173,Upregulated,zinc finger protein 428(ZNF428)
276,SLC38A7,513110,Upregulated,solute carrier family 38 member 7(SLC38A7)
277,EIF4EBP2,782397,Upregulated,eukaryotic translation initiation factor 4E binding protein 2(EIF4EBP2)
278,TNFRSF17,101908051,Upregulated,TNF receptor superfamily member 17(TNFRSF17)
279,SMYD4,512868,Upregulated,SET and MYND domain containing 4(SMYD4)
280,EIF4EBP3,100533104,Upregulated,eukaryotic translation initiation factor 4E binding protein 3(EIF4EBP3)
281,LOC781439,781439,Upregulated,N6-adenosine-methyltransferase TMT1A(LOC781439)
282,SOCS4,540412,Upregulated,suppressor of cytokine signaling 4(SOCS4)
283,KIR2DL5A,282860,Upregulated,"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5A(KIR2DL5A)"
284,CD276,508656,Upregulated,CD276 molecule(CD276)
285,NEK8,532332,Upregulated,NIMA related kinase 8(NEK8)
286,NEK4,511455,Upregulated,NIMA related kinase 4(NEK4)
287,GOT2,286886,Upregulated,glutamic-oxaloacetic transaminase 2(GOT2)
288,SRD5A3,535834,Upregulated,steroid 5 alpha-reductase 3(SRD5A3)
289,LRRC61,616659,Upregulated,leucine rich repeat containing 61(LRRC61)
290,LOC112448378,112448378,Upregulated,uncharacterized LOC112448378(LOC112448378)
291,HPS6,511792,Upregulated,HPS6 biogenesis of lysosomal organelles complex 2 subunit 3(HPS6)
292,CORO2A,617620,Upregulated,coronin 2A(CORO2A)
293,TNFRSF10D,782274,Upregulated,"tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain(TNFRSF10D)"
294,ARPC2,540838,Upregulated,actin related protein 2/3 complex subunit 2(ARPC2)
295,SP2,534403,Upregulated,Sp2 transcription factor(SP2)
296,TUBGCP5,512912,Upregulated,tubulin gamma complex associated protein 5(TUBGCP5)
297,TUBGCP3,526529,Upregulated,tubulin gamma complex associated protein 3(TUBGCP3)
298,HPSE,281230,Upregulated,heparanase(HPSE)
299,LOC101903604,101903604,Upregulated,uncharacterized LOC101903604(LOC101903604)
300,ZNF652,511703,Upregulated,zinc finger protein 652(ZNF652)
301,LOC101903832,101903832,Upregulated,uncharacterized LOC101903832(LOC101903832)
302,ONECUT2,782542,Upregulated,one cut homeobox 2(ONECUT2)
303,MTCL1,538547,Upregulated,microtubule crosslinking factor 1(MTCL1)
304,LOC132346978,132346978,Upregulated,uncharacterized LOC132346978(LOC132346978)
305,MCM10,527595,Upregulated,minichromosome maintenance 10 replication initiation factor(MCM10)
306,FASLG,407111,Upregulated,Fas ligand(FASLG)
307,EFCAB11,617365,Upregulated,EF-hand calcium binding domain 11(EFCAB11)
308,NADK2,506968,Upregulated,"NAD kinase 2, mitochondrial(NADK2)"
309,HHEX,539542,Upregulated,hematopoietically expressed homeobox(HHEX)
310,SPR,533836,Upregulated,sepiapterin reductase(SPR)
311,TRIM68,538657,Upregulated,tripartite motif containing 68(TRIM68)
312,PMEPA1,617469,Upregulated,"prostate transmembrane protein, androgen induced 1(PMEPA1)"
313,ZNF646,783820,Upregulated,zinc finger protein 646(ZNF646)
314,ITGB8,536286,Upregulated,integrin subunit beta 8(ITGB8)
315,UNKL,522441,Upregulated,unk like zinc finger(UNKL)
316,DIS3L2,519222,Upregulated,DIS3 like 3'-5' exoribonuclease 2(DIS3L2)
317,AHSA2,531017,Upregulated,activator of HSP90 ATPase homolog 2(AHSA2)
318,VPS37C,613817,Upregulated,VPS37C subunit of ESCRT-I(VPS37C)
319,VPS37B,535566,Upregulated,VPS37B subunit of ESCRT-I(VPS37B)
320,SLC25A15,532560,Upregulated,solute carrier family 25 member 15(SLC25A15)
321,QTRT2,508374,Upregulated,queuine tRNA-ribosyltransferase accessory subunit 2(QTRT2)
322,IMPACT,517248,Upregulated,impact RWD domain protein(IMPACT)
323,HAX1,506895,Upregulated,HCLS1 associated protein X-1(HAX1)
324,LOC515276,515276,Upregulated,placental protein 13-like(LOC515276)
325,NPC2,280815,Upregulated,NPC intracellular cholesterol transporter 2(NPC2)
326,TMBIM1,404134,Upregulated,transmembrane BAX inhibitor motif containing 1(TMBIM1)
327,TNFRSF25,783432,Upregulated,TNF receptor superfamily member 25(TNFRSF25)
328,BCAT1,505926,Upregulated,branched chain amino acid transaminase 1(BCAT1)
329,GAPDH,281181,Upregulated,glyceraldehyde-3-phosphate dehydrogenase(GAPDH)
330,TNFRSF21,537922,Upregulated,TNF receptor superfamily member 21(TNFRSF21)
331,FOCAD,506199,Upregulated,focadhesin(FOCAD)
332,SEC23A,533994,Upregulated,"SEC23 homolog A, COPII coat complex component(SEC23A)"
333,GTF3C4,540249,Upregulated,general transcription factor IIIC subunit 4(GTF3C4)
334,UHRF1,530411,Upregulated,ubiquitin like with PHD and ring finger domains 1(UHRF1)
335,SRF,533039,Upregulated,serum response factor(SRF)
336,ATP10D,536495,Upregulated,ATPase phospholipid transporting 10D (putative)(ATP10D)
337,ATP10B,100336948,Upregulated,ATPase phospholipid transporting 10B (putative)(ATP10B)
338,ZBTB42,789062,Upregulated,zinc finger and BTB domain containing 42(ZBTB42)
339,AFG1L,537689,Upregulated,AFG1 like ATPase(AFG1L)
340,ZBTB45,506887,Upregulated,zinc finger and BTB domain containing 45(ZBTB45)
341,FOXK1,781626,Upregulated,forkhead box K1(FOXK1)
342,IL2RG,281862,Upregulated,interleukin 2 receptor subunit gamma(IL2RG)
343,SRL,513912,Upregulated,sarcalumenin(SRL)
344,ZBTB40,534714,Upregulated,zinc finger and BTB domain containing 40(ZBTB40)
345,SLC25A27,536813,Upregulated,solute carrier family 25 member 27(SLC25A27)
346,KIAA1328,785328,Upregulated,KIAA1328 ortholog(KIAA1328)
347,BAHD1,617684,Upregulated,bromo adjacent homology domain containing 1(BAHD1)
348,C13H20orf202,100296025,Upregulated,chromosome 13 C20orf202 homolog(C13H20orf202)
349,CCL1,786156,Upregulated,C-C motif chemokine ligand 1(CCL1)
350,UBQLN4,533021,Upregulated,ubiquilin 4(UBQLN4)
351,SH2B1,506066,Upregulated,SH2B adaptor protein 1(SH2B1)
352,UBQLN2,539529,Upregulated,ubiquilin 2(UBQLN2)
353,METAP1D,533042,Upregulated,"methionyl aminopeptidase type 1D, mitochondrial(METAP1D)"
354,MARCKSL1,539555,Upregulated,MARCKS like 1(MARCKSL1)
355,CIZ1,531522,Upregulated,CDKN1A interacting zinc finger protein 1(CIZ1)
356,MMAA,511673,Upregulated,metabolism of cobalamin associated A(MMAA)
